"doubles_uses,standard_uses,total_uses,season_number,team_name,league,role"
"6,2,8,18,Hawks,FOUNDATION,PLAYERD"
"5,7,12,18,Hawks,FOUNDATION,PLAYERE"
"6,5,11,18,Hawks,MASTER,PLAYERA"
"1,5,6,18,Hawks,MASTER,PLAYERB"
"5,4,9,18,Hawks,MASTER,PLAYERC"
"2,8,10,18,Hawks,MASTER,PLAYERD"
"6,6,12,18,Hawks,MASTER,PLAYERE"
"0,2,2,18,Hawks,MASTER,PLAYERF"
"4,8,12,18,Hive,ACADEMY,PLAYERA"
"3,2,5,18,Hive,ACADEMY,PLAYERB"
"6,5,11,18,Hive,ACADEMY,PLAYERC"
"2,5,7,18,Hive,ACADEMY,PLAYERD"
"5,7,12,18,Hive,ACADEMY,PLAYERE"
"0,3,3,18,Hive,ACADEMY,PLAYERF"
"6,6,12,18,Hive,CHAMPION,PLAYERA"
"6,6,12,18,Hive,CHAMPION,PLAYERB"
"3,5,8,18,Hive,CHAMPION,PLAYERC"
"4,8,12,18,Hive,CHAMPION,PLAYERD"
"1,5,6,18,Hive,CHAMPION,PLAYERE"
"5,7,12,18,Hive,MASTER,PLAYERA"
"0,2,2,18,Hive,MASTER,PLAYERB"
"2,4,6,18,Hive,MASTER,PLAYERC"
"5,6,11,18,Hive,MASTER,PLAYERD"
"3,6,9,18,Hive,MASTER,PLAYERE"
"5,5,10,18,Hive,MASTER,PLAYERF"
"6,5,11,18,Hive,PREMIER,PLAYERA"
"5,6,11,18,Hive,PREMIER,PLAYERB"
"5,7,12,18,Hive,PREMIER,PLAYERC"
"2,4,6,18,Hive,PREMIER,PLAYERD"
"1,4,5,18,Hive,PREMIER,PLAYERE"
"1,1,2,18,Hive,PREMIER,PLAYERF"
"4,8,12,18,Hurricanes,ACADEMY,PLAYERA"
"6,6,12,18,Hurricanes,ACADEMY,PLAYERB"
"5,7,12,18,Hurricanes,ACADEMY,PLAYERC"
"3,2,5,18,Hurricanes,ACADEMY,PLAYERD"
"2,5,7,18,Hurricanes,ACADEMY,PLAYERE"
"0,2,2,18,Hurricanes,ACADEMY,PLAYERF"
"1,0,1,18,Hurricanes,CHAMPION,NONE"
"1,1,2,18,Hurricanes,CHAMPION,PLAYERA"
"1,6,7,18,Hurricanes,CHAMPION,PLAYERB"
"3,5,8,18,Hurricanes,CHAMPION,PLAYERC"
"1,3,4,18,Hurricanes,CHAMPION,PLAYERD"
"3,4,7,18,Hurricanes,CHAMPION,PLAYERE"
"4,4,8,18,Hurricanes,CHAMPION,PLAYERF"
"5,4,9,18,Hurricanes,CHAMPION,PLAYERG"
"1,4,5,18,Hurricanes,CHAMPION,PLAYERH"
"2,5,7,18,Hurricanes,MASTER,PLAYERA"
"4,8,12,18,Hurricanes,MASTER,PLAYERB"
"3,6,9,18,Hurricanes,MASTER,PLAYERC"
"4,5,9,18,Hurricanes,MASTER,PLAYERD"
"5,5,10,18,Hurricanes,MASTER,PLAYERE"
"2,1,3,18,Hurricanes,MASTER,PLAYERF"
"3,7,10,18,Hurricanes,PREMIER,PLAYERA"
"4,7,11,18,Hurricanes,PREMIER,PLAYERB"
"5,6,11,18,Hurricanes,PREMIER,PLAYERC"
"1,4,5,18,Hurricanes,PREMIER,PLAYERD"
"5,4,9,18,Hurricanes,PREMIER,PLAYERE"
