"match_id,fixture_id,match_group_id,scheduling_start_time,scheduling_end_time,home,away,league,game_mode,home_wins,away_wins,winning_team"
"463,123,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Wolves,Foxes,Champion League,Doubles,0,0,Not Played / Data Unavailable"
"457,123,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Wolves,Foxes,Academy League,Doubles,0,0,Not Played / Data Unavailable"
"49,123,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Wolves,Foxes,Foundation League,Doubles,0,0,Not Played / Data Unavailable"
"465,123,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Wolves,Foxes,Master League,Standard,0,0,Not Played / Data Unavailable"
"464,123,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Wolves,Foxes,Champion League,Standard,0,0,Not Played / Data Unavailable"
"458,123,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Wolves,Foxes,Academy League,Standard,0,0,Not Played / Data Unavailable"
"3855,123,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Wolves,Foxes,Foundation League,Standard,0,0,Not Played / Data Unavailable"
"19,17,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Knights,Foxes,Master League,Doubles,0,0,Not Played / Data Unavailable"
"905,17,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Knights,Foxes,Champion League,Doubles,0,0,Not Played / Data Unavailable"
"918,17,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Knights,Foxes,Academy League,Doubles,0,0,Not Played / Data Unavailable"
"923,17,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Knights,Foxes,Master League,Standard,0,0,Not Played / Data Unavailable"
"906,17,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Knights,Foxes,Champion League,Standard,0,0,Not Played / Data Unavailable"
"913,17,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Knights,Foxes,Academy League,Standard,0,0,Not Played / Data Unavailable"
"945,58,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Bears,Shadow,Master League,Doubles,0,0,Not Played / Data Unavailable"
"6,58,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Bears,Shadow,Champion League,Doubles,0,0,Not Played / Data Unavailable"
"953,58,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Bears,Shadow,Academy League,Doubles,0,0,Not Played / Data Unavailable"
"3880,58,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Bears,Shadow,Master League,Standard,0,0,Not Played / Data Unavailable"
"47,58,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Bears,Shadow,Champion League,Standard,0,0,Not Played / Data Unavailable"
"947,58,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Bears,Shadow,Academy League,Standard,0,0,Not Played / Data Unavailable"
"910,153,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Express,Sabres,Master League,Doubles,0,0,Not Played / Data Unavailable"
"2294,153,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Express,Sabres,Champion League,Doubles,0,0,Not Played / Data Unavailable"
"911,153,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Express,Sabres,Academy League,Doubles,0,0,Not Played / Data Unavailable"
"916,153,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Express,Sabres,Master League,Standard,0,0,Not Played / Data Unavailable"
"22,153,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Express,Sabres,Champion League,Standard,0,0,Not Played / Data Unavailable"
"917,153,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Express,Sabres,Academy League,Standard,0,0,Not Played / Data Unavailable"
"2594,154,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Jets,Wolves,Master League,Doubles,0,0,Not Played / Data Unavailable"
"2638,154,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Jets,Wolves,Champion League,Doubles,0,0,Not Played / Data Unavailable"
"38,154,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Jets,Wolves,Academy League,Doubles,0,0,Not Played / Data Unavailable"
"921,154,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Jets,Wolves,Master League,Standard,0,0,Not Played / Data Unavailable"
"2,154,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Jets,Wolves,Champion League,Standard,0,0,Not Played / Data Unavailable"
"33,154,16,2021-04-22 04:00:00,2021-05-03 04:00:00,Jets,Wolves,Academy League,Standard,0,0,Not Played / Data Unavailable"
