"fixture_id,match_group_id,home,away"
"649,47,Pirates,Bears"
"650,47,Hive,Ducks"
"651,47,Hawks,Aviators"
"652,47,Spartans,Jets"
"653,47,Hurricanes,Blizzard"
"654,47,Sharks,Pandas"
"716,47,Rhinos,Flames"
"717,47,Demolition,Shadow"
"718,47,Hurricanes,Ducks"
"719,47,Hive,Pirates"
"780,47,Lightning,Eclipse"
"781,47,Elite,Bulls"
"782,47,Blizzard,Spartans"
"783,47,Wolves,Puffins"
"655,42,Pirates,Outlaws"
"656,42,Aviators,Hive"
"657,42,Bears,Rhinos"
"658,42,Bulls,Tyrants"
"659,42,Elite,Dodgers"
"660,42,Comets,Wizards"
"661,42,Flames,Sharks"
"662,42,Shadow,Pandas"
"663,42,Express,Spartans"
"664,42,Knights,Jets"
"665,42,Hurricanes,Eclipse"
"666,42,Foxes,Wolves"
"667,42,Sabres,Puffins"
"720,42,Shadow,Flames"
"721,42,Pirates,Rhinos"
"784,42,Spartans,Ducks"
"785,42,Hive,Hurricanes"
"786,42,Blizzard,Demolition"
"787,42,Hawks,Ducks"
"788,42,Spectre,Demolition"
"789,42,Blizzard,Lightning"
"668,41,Pirates,Elite"
"669,41,Comets,Flames"
"670,41,Knights,Hurricanes"
"671,41,Jets,Eclipse"
"672,41,Express,Blizzard"
"673,41,Wolves,Hive"
"674,41,Sabres,Hawks"
"675,41,Foxes,Aviators"
"676,41,Demolition,Pandas"
"677,41,Spectre,Shadow"
"678,41,Wizards,Sharks"
"679,41,Bears,Bulls"
"680,41,Rhinos,Tyrants"
"722,41,Spartans,Hive"
"723,41,Flames,Demolition"
"724,41,Shadow,Pirates"
"725,41,Ducks,Blizzard"
"726,41,Hurricanes,Rhinos"
"790,41,Spartans,Lightning"
"791,41,Puffins,Ducks"
"792,41,Outlaws,Dodgers"
"681,48,Aviators,Puffins"
"682,48,Ducks,Sabres"
"683,48,Hawks,Wolves"
"684,48,Blizzard,Jets"
"685,48,Eclipse,Knights"
"686,48,Hurricanes,Spartans"
"687,48,Lightning,Express"
"688,48,Pandas,Spectre"
"689,48,Shadow,Wizards"
"690,48,Sharks,Comets"
"691,48,Bulls,Outlaws"
"692,48,Dodgers,Pirates"
"727,48,Hive,Blizzard"
"728,48,Ducks,Flames"
"729,48,Rhinos,Shadow"
"730,48,Demolition,Pirates"
"793,48,Hive,Foxes"
"794,48,Flames,Demolition"
"795,48,Elite,Rhinos"
"796,48,Tyrants,Bears"
"693,43,Foxes,Hawks"
"694,43,Puffins,Hive"
"695,43,Sabres,Aviators"
"696,43,Wolves,Ducks"
"697,43,Express,Hurricanes"
"698,43,Jets,Lightning"
"699,43,Knights,Blizzard"
"700,43,Spartans,Eclipse"
"701,43,Comets,Shadow"
"702,43,Spectre,Flames"
"703,43,Wizards,Pandas"
"704,43,Bears,Elite"
"705,43,Outlaws,Tyrants"
"706,43,Pirates,Bulls"
"731,43,Blizzard,Hurricanes"
"732,43,Hive,Ducks"
"733,43,Demolition,Spartans"
"734,43,Pirates,Rhinos"
"735,43,Shadow,Flames"
"797,43,Demolition,Sharks"
"798,43,Rhinos,Dodgers"
"707,45,Aviators,Wolves"
"708,45,Ducks,Foxes"
"709,45,Hawks,Puffins"
"710,45,Hive,Sabres"
"711,45,Eclipse,Express"
"712,45,Hurricanes,Jets"
"736,45,Dodgers,Bears"
"737,45,Elite,Outlaws"
"738,45,Tyrants,Pirates"
"739,45,Flames,Wizards"
"740,45,Pandas,Comets"
"741,45,Shadow,Demolition"
"742,45,Sharks,Spectre"
"743,45,Bulls,Rhinos"
"799,45,Shadow,Pirates"
"800,45,Rhinos,Hive"
"801,45,Flames,Demolition"
"802,45,Ducks,Hurricanes"
"803,45,Blizzard,Spartans"
"804,45,Lightning,Knights"
"744,44,Pandas,Shadow"
"745,44,Sharks,Flames"
"746,44,Outlaws,Pirates"
"747,44,Hive,Aviators"
"748,44,Ducks,Hawks"
"749,44,Puffins,Sabres"
"750,44,Lightning,Blizzard"
"751,44,Eclipse,Hurricanes"
"752,44,Spartans,Express"
"753,44,Rhinos,Bears"
"754,44,Dodgers,Elite"
"755,44,Tyrants,Bulls"
"756,44,Wizards,Comets"
"805,44,Demolition,Spectre"
"806,44,Wolves,Foxes"
"807,44,Jets,Knights"
"808,44,Hurricanes,Hive"
"809,44,Spartans,Ducks"
"810,44,Flames,Blizzard"
"811,44,Pirates,Demolition"
"812,44,Rhinos,Shadow"
"757,49,Pandas,Sharks"
"758,49,Flames,Shadow"
"759,49,Demolition,Wizards"
"760,49,Comets,Spectre"
"761,49,Dodgers,Tyrants"
"762,49,Outlaws,Rhinos"
"763,49,Bears,Pirates"
"764,49,Ducks,Hive"
"765,49,Aviators,Hawks"
"766,49,Foxes,Sabres"
"767,49,Eclipse,Lightning"
"768,49,Blizzard,Hurricanes"
"769,49,Jets,Spartans"
"813,49,Express,Knights"
"814,49,Hive,Spartans"
"815,49,Demolition,Rhinos"
"816,49,Pirates,Flames"
"817,49,Shadow,Hurricanes"
"818,49,Ducks,Blizzard"
"819,49,Bulls,Elite"
"820,49,Puffins,Wolves"
"770,46,Foxes,Puffins"
"771,46,Aviators,Ducks"
"772,46,Hurricanes,Lightning"
"773,46,Blizzard,Eclipse"
"774,46,Express,Jets"
"775,46,Hawks,Hive"
"776,46,Bears,Outlaws"
"777,46,Pirates,Rhinos"
"821,46,Spartans,Hurricanes"
"822,46,Flames,Rhinos"
"823,46,Demolition,Shadow"
"824,46,Pirates,Ducks"
"825,46,Sabres,Wolves"
"826,46,Knights,Spartans"
"827,46,Bulls,Dodgers"
"828,46,Elite,Tyrants"
"829,46,Comets,Demolition"
"830,46,Spectre,Wizards"
"831,46,Flames,Pandas"
"832,46,Shadow,Sharks"
"833,46,Blizzard,Hive"
"834,50,Outlaws,Pirates"
